n_hubs,afos_served,animals,construction_cost,annual_transport_cost,total_5yr_cost,cost_per_animal_per_year,avg_distance_km,truckloads_per_year,transport_cost_per_km
10,334,41180619,20000000,3619424.486804531,38097122.43402265,0.08789145415236549,28.17033786934791,85655.68752,1.5
10,334,41180619,20000000,4825899.315739375,44129496.57869688,0.11718860553648731,28.17033786934791,85655.68752,2.0
10,334,41180619,20000000,6032374.144674218,50161870.72337109,0.14648575692060914,28.17033786934791,85655.68752,2.5
10,334,41180619,20000000,7238848.973609062,56194244.86804531,0.17578290830473098,28.17033786934791,85655.68752,3.0
10,334,41180619,20000000,8445323.802543905,62226619.01271953,0.20508005968885276,28.17033786934791,85655.68752,3.5
10,334,41180619,20000000,9651798.63147875,68258993.15739375,0.23437721107297463,28.17033786934791,85655.68752,4.0
