n_hubs,afos_served,animals,construction_cost,annual_transport_cost,total_5yr_cost,cost_per_animal_per_year,avg_distance_km,truckloads_per_year,annual_revenue,annual_net_cash_flow,npv_5yr,payback_years
8,334,41180619,16000000,8659650.306368943,59298251.53184472,0.21028460758127368,40.4393476117834,85655.68752,38367640.9231623,29707990.616793353,132539953.08396676,0.5385756379953718
10,334,41180619,20000000,6032374.144674218,50161870.72337109,0.14648575692060914,28.17033786934791,85655.68752,38367640.9231623,32335266.778488077,141676333.89244038,0.6185197152387667
15,334,41180619,30000000,4732682.928927628,53663414.64463814,0.11492500705071064,22.100962894367427,85655.68752,38367640.9231623,33634957.994234666,138174789.97117335,0.8919291650413914
